"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Instruction","Comments"
1552428378,216,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427567770,"tutor","NULL"
1552428378,216,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427583568,"tutor","NULL"
1552428294,217,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427950371,"tutor","NULL"
1552428294,217,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427978598,"tutor","NULL"
1552428083,218,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427488284,"intuitive_plain","NULL"
1552428083,218,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427507696,"intuitive_plain","NULL"
1552430601,219,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429180798,"tutor","NULL"
1552430601,219,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429324800,"tutor","NULL"
1552428228,220,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427404072,"tutor","NULL"
1552428228,220,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427434912,"tutor","NULL"
1552432074,221,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552431122992,"professor","NULL"
1552432074,221,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552431224989,"professor","NULL"
1552428468,222,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427635227,"professor","NULL"
1552428468,222,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427667733,"professor","NULL"
1552429986,223,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429420857,"intuitive_plain","NULL"
1552429986,223,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429450123,"intuitive_plain","NULL"
1552429117,224,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428889267,"tutor","NULL"
1552429117,224,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428891431,"tutor","NULL"
1552428407,225,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427462979,"professor","NULL"
1552428407,225,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427553140,"professor","NULL"
1552428828,226,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427490676,"tutor","NULL"
1552428828,226,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427501373,"tutor","NULL"
1552429461,227,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428301909,"professor","NULL"
1552429461,227,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428353859,"professor","NULL"
1552428992,228,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428488262,"professor","NULL"
1552428992,228,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428511064,"professor","NULL"
1552428015,229,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427253414,"intuitive_plain","NULL"
1552428015,229,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427350440,"intuitive_plain","NULL"
1552432212,230,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552431445393,"intuitive_plain","NULL"
1552432212,230,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552431475116,"intuitive_plain","NULL"
1552429465,231,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428681432,"intuitive_school","NULL"
1552429465,231,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428699870,"intuitive_school","NULL"
1552428036,232,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427400728,"professor","NULL"
1552428036,232,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427417998,"professor","NULL"
1552439051,233,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552437838937,"professor","NULL"
1552439051,233,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552438036975,"professor","NULL"
1552429264,234,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427744473,"professor","NULL"
1552429264,234,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427939359,"professor","NULL"
1552429522,235,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428622078,"tutor","NULL"
1552429522,235,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428624021,"tutor","NULL"
1552427673,236,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552426980918,"intuitive_school","NULL"
1552427673,236,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427003402,"intuitive_school","NULL"
1552429251,237,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428182988,"tutor","NULL"
1552429251,237,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428246096,"tutor","NULL"
1552429035,238,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428289743,"tutor","NULL"
1552429035,238,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428363069,"tutor","NULL"
1552428199,239,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427888149,"tutor","NULL"
1552428199,239,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427889968,"tutor","NULL"
1552429511,240,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428153398,"tutor","NULL"
1552429511,240,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428164877,"tutor","NULL"
1552428518,241,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427468405,"tutor","NULL"
1552428518,241,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427571450,"tutor","NULL"
1552429501,242,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429222190,"professor","NULL"
1552429501,242,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429224011,"professor","NULL"
1552432190,243,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552431548685,"professor","NULL"
1552432190,243,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552431594724,"professor","NULL"
1552427644,244,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427163312,"intuitive_school","NULL"
1552427644,244,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427186402,"intuitive_school","NULL"
1552434751,245,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552433048178,"tutor","NULL"
1552434751,245,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552433193476,"tutor","NULL"
1552430402,246,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552430261210,"tutor","NULL"
1552430402,246,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552430262953,"tutor","NULL"
1552430042,247,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429676077,"tutor","NULL"
1552430042,247,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429677298,"tutor","NULL"
1552428752,248,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427706846,"professor","NULL"
1552428752,248,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427802447,"professor","NULL"
1552433673,249,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552433110719,"professor","NULL"
1552433673,249,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552433145515,"professor","NULL"
1552428557,250,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552462550710,"professor","NULL"
1552428557,250,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552462552151,"professor","NULL"
1552429841,251,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428268061,"tutor","NULL"
1552429841,251,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428314064,"tutor","NULL"
1552429508,252,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428907306,"professor","NULL"
1552429508,252,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428908650,"professor","NULL"
1552429690,253,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428993989,"tutor","NULL"
1552429690,253,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428996905,"tutor","NULL"
1552428501,254,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427791473,"tutor","NULL"
1552428501,254,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427827702,"tutor","NULL"
1552429623,255,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429181479,"tutor","NULL"
1552429623,255,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429183254,"tutor","NULL"
1552428372,256,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552427868690,"professor","NULL"
1552428372,256,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552427911697,"professor","NULL"
1552430320,257,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429878150,"tutor","NULL"
1552430320,257,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429883758,"tutor","NULL"
1552428854,258,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428633120,"tutor","NULL"
1552428854,258,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428638390,"tutor","NULL"
1552429231,259,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428306194,"professor","NULL"
1552429231,259,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428353630,"professor","NULL"
1552429376,260,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428305965,"tutor","NULL"
1552429376,260,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428404286,"tutor","NULL"
1552427815,261,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552452853520,"professor","NULL"
1552427815,261,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552452854939,"professor","NULL"
1552429177,262,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428376604,"tutor","NULL"
1552429177,262,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428378760,"tutor","NULL"
1552429826,263,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428850846,"intuitive_school","NULL"
1552429826,263,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428888431,"intuitive_school","NULL"
1552430738,264,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552429412191,"professor","NULL"
1552430738,264,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552429416459,"professor","NULL"
1552428652,265,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552428517020,"tutor","NULL"
1552428652,265,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552428517999,"tutor","NULL"
1552431495,266,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552430431585,"professor","NULL"
1552431495,266,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552430482700,"professor","NULL"
