"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1552428378,216,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427563998,"NULL"
1552428378,216,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427567766,"NULL"
1552428294,217,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427946989,"NULL"
1552428294,217,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427950368,"NULL"
1552428083,218,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427480236,"NULL"
1552428083,218,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427488283,"NULL"
1552430601,219,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552429044524,"NULL"
1552430601,219,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552429180796,"NULL"
1552428228,220,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427400660,"NULL"
1552428228,220,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427404066,"NULL"
1552432074,221,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552431118057,"NULL"
1552432074,221,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552431122989,"NULL"
1552428468,222,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427631142,"NULL"
1552428468,222,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427635224,"NULL"
1552429986,223,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552429397640,"NULL"
1552429986,223,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552429420855,"NULL"
1552429117,224,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428885788,"NULL"
1552429117,224,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428889262,"NULL"
1552428407,225,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427427112,"NULL"
1552428407,225,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427462977,"NULL"
1552428828,226,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427485597,"NULL"
1552428828,226,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427490672,"NULL"
1552429461,227,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428274895,"NULL"
1552429461,227,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428301908,"NULL"
1552428992,228,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428483144,"NULL"
1552428992,228,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428488252,"NULL"
1552428015,229,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427196664,"NULL"
1552428015,229,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427253413,"NULL"
1552432212,230,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552431440465,"NULL"
1552432212,230,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552431445385,"NULL"
1552429465,231,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428671345,"NULL"
1552429465,231,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428681428,"NULL"
1552428036,232,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427393536,"NULL"
1552428036,232,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427400718,"NULL"
1552439051,233,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552437827084,"NULL"
1552439051,233,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552437838929,"NULL"
1552429264,234,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427742366,"NULL"
1552429264,234,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427744472,"NULL"
1552429522,235,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428618783,"NULL"
1552429522,235,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428622071,"NULL"
1552427673,236,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552426973196,"NULL"
1552427673,236,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552426980910,"NULL"
1552429251,237,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428075445,"NULL"
1552429251,237,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428182986,"NULL"
1552429035,238,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428286783,"NULL"
1552429035,238,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428289742,"NULL"
1552428199,239,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552427885198,"NULL"
1552428199,239,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552427888142,"NULL"
1552429511,240,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552428149965,"NULL"
1552429511,240,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552428153385,"NULL"
