"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","uniqueid","Comments"
1550707748,1,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550707729021,"15fd043uklyxoqyga7h9fq","NULL"
1550707748,1,"PennController",6,0,"feedback","NULL","TextInput","feedback","Final","You are welcome to leave any feedback you have here.",1550707748025,"15fd043uklyxoqyga7h9fq","NULL"
1550707748,1,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","End",1550707748042,"15fd043uklyxoqyga7h9fq","NULL"
1550707209,2,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550707197051,"swlp66upys9y7qjiewn5hb","NULL"
1550707209,2,"PennController",6,0,"feedback","NULL","TextInput","feedback","Final","Thank you!",1550707208675,"swlp66upys9y7qjiewn5hb","NULL"
1550707209,2,"PennController",6,0,"feedback","NULL","TextInput","feedback","First","You are welcome to leave any feedback you have here.",1550707200082,"swlp66upys9y7qjiewn5hb",16
1550707209,2,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","End",1550707208676,"swlp66upys9y7qjiewn5hb","NULL"
1550707283,3,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550707282339,"beb4iznwrs6ksxdakfd5ch","NULL"
1550707283,3,"PennController",6,0,"feedback","NULL","TextInput","feedback","Final","You are welcome to leave any feedback you have here.",1550707285146,"beb4iznwrs6ksxdakfd5ch","NULL"
1550707283,3,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","End",1550707285146,"beb4iznwrs6ksxdakfd5ch","NULL"
1550707299,4,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550707290968,"4kr6res2vyt5j0xgpvw9wd","NULL"
1550707299,4,"PennController",6,0,"feedback","NULL","TextInput","feedback","First","You are welcome to leave any feedback you have here.",1550707293228,"4kr6res2vyt5j0xgpvw9wd",8
1550707299,4,"PennController",6,0,"feedback","NULL","TextInput","feedback","Final",,1550707294435,"4kr6res2vyt5j0xgpvw9wd","NULL"
1550707299,4,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","End",1550707294435,"4kr6res2vyt5j0xgpvw9wd","NULL"
1550706888,5,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550706887679,"a0ol6yn6d2w6r2siqry9g","NULL"
1550706888,5,"PennController",6,0,"feedback","NULL","TextInput","feedback","Final","You are welcome to leave any feedback you have here.",1550706891422,"a0ol6yn6d2w6r2siqry9g","NULL"
1550706888,5,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","End",1550706891423,"a0ol6yn6d2w6r2siqry9g","NULL"
1550710200,6,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550710197172,"r627y4ujvq88x8x0tdut2","NULL"
1550710200,6,"PennController",6,0,"feedback","NULL","TextInput","feedback","Final","You are welcome to leave any feedback you have here.",1550710199830,"r627y4ujvq88x8x0tdut2","NULL"
1550710200,6,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","End",1550710199830,"r627y4ujvq88x8x0tdut2","NULL"
1550709335,7,"PennController",6,0,"feedback","NULL","PennController",4,"_Trial_","Start",1550709329178,"yt5sq6cjswar0etf8n90zj","NULL"
