"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1550707748,1,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705932029,"NULL"
1550707748,1,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705977388,"NULL"
1550707748,1,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705978157,"NULL"
1550707209,2,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706287939,"NULL"
1550707209,2,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706301376,"NULL"
1550707209,2,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706302840,"NULL"
1550707283,3,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706759683,"NULL"
1550707283,3,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706770732,"NULL"
1550707283,3,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706772968,"NULL"
1550707299,4,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705559652,"NULL"
1550707299,4,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705575911,"NULL"
1550707299,4,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705577138,"NULL"
1550706888,5,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706349732,"NULL"
1550706888,5,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706364653,"NULL"
1550706888,5,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706365651,"NULL"
1550710200,6,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550709339877,"NULL"
1550710200,6,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550709355171,"NULL"
1550710200,6,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550709357021,"NULL"
1550709335,7,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550708918050,"NULL"
1550709335,7,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550708957818,"NULL"
1550709335,7,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550708976471,"NULL"
1550706590,8,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706133320,"NULL"
1550706590,8,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706161136,"NULL"
1550706590,8,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706169713,"NULL"
1550707797,9,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550707218605,"NULL"
1550707797,9,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550707231272,"NULL"
1550707797,9,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550707232481,"NULL"
1550706067,10,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705466675,"NULL"
1550706067,10,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705479208,"NULL"
1550706067,10,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705481073,"NULL"
1550706214,11,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705611401,"NULL"
1550706214,11,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705626622,"NULL"
1550706214,11,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705627526,"NULL"
1550706031,12,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705419026,"NULL"
1550706031,12,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705435738,"NULL"
1550706031,12,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705437127,"NULL"
1550708623,13,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550707878500,"NULL"
1550708623,13,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice1",1550707885011,"NULL"
1550708623,13,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550707886117,"NULL"
1550707107,14,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706593959,"NULL"
1550707107,14,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706603890,"NULL"
1550707107,14,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706605459,"NULL"
1550707311,15,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706525482,"NULL"
1550707311,15,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706555143,"NULL"
1550707311,15,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706558168,"NULL"
1550707204,16,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706316604,"NULL"
1550707204,16,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice4",1550706325206,"NULL"
1550707204,16,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706327671,"NULL"
1550708066,17,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705982943,"NULL"
1550708066,17,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice1",1550706047217,"NULL"
1550708066,17,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706058044,"NULL"
1550708598,18,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550708276765,"NULL"
1550708598,18,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550708307796,"NULL"
1550708598,18,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550708308758,"NULL"
1550707039,19,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705900916,"NULL"
1550707039,19,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705957065,"NULL"
1550707039,19,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705961699,"NULL"
1550706243,20,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705633487,"NULL"
1550706243,20,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705645181,"NULL"
1550706243,20,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705646664,"NULL"
1550708135,21,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550735161295,"NULL"
1550708135,21,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice1",1550735164824,"NULL"
1550708135,21,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550735165919,"NULL"
1550706346,22,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705604948,"NULL"
1550706346,22,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice3",1550705613584,"NULL"
1550706346,22,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705617525,"NULL"
1550706985,23,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706818687,"NULL"
1550706985,23,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550706819401,"NULL"
1550706985,23,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706820196,"NULL"
1550706194,24,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705905649,"NULL"
1550706194,24,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705910784,"NULL"
1550706194,24,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705911798,"NULL"
1550708046,25,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550707055673,"NULL"
1550708046,25,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550707063177,"NULL"
1550708046,25,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550707070819,"NULL"
1550706378,26,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705788445,"NULL"
1550706378,26,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550705801032,"NULL"
1550706378,26,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705802563,"NULL"
1550712072,27,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550709929495,"NULL"
1550712072,27,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550709945021,"NULL"
1550712072,27,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550709946615,"NULL"
1550706157,28,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550705741635,"NULL"
1550706157,28,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice1",1550705795551,"NULL"
1550706157,28,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550705799318,"NULL"
1550707469,29,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550707114304,"NULL"
1550707469,29,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550707173415,"NULL"
1550707469,29,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550707175017,"NULL"
1550708900,30,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550708397034,"NULL"
1550708900,30,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550708405660,"NULL"
1550708900,30,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550708406490,"NULL"
1550710260,31,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550709770492,"NULL"
1550710260,31,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550709779151,"NULL"
1550710260,31,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550709780272,"NULL"
1550709416,32,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550707591175,"NULL"
1550709416,32,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1550708465309,"NULL"
1550709416,32,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550708466848,"NULL"
1550707361,33,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1550706403251,"NULL"
1550707361,33,"PennController",69,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice3",1550706451406,"NULL"
1550707361,33,"PennController",69,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1550706453284,"NULL"
