"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Instruction","Comments"
1550707748,1,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550705928095,"intuitive_school","NULL"
1550707748,1,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550705931992,"intuitive_school","NULL"
1550707209,2,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550706267998,"intuitive_school","NULL"
1550707209,2,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550706287937,"intuitive_school","NULL"
1550707283,3,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550706745660,"intuitive_plain","NULL"
1550707283,3,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550706759681,"intuitive_plain","NULL"
1550707299,4,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550705547902,"intuitive_school","NULL"
1550707299,4,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550705559644,"intuitive_school","NULL"
1550706888,5,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550706316349,"professor","NULL"
1550706888,5,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550706349731,"professor","NULL"
1550710200,6,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550709281912,"tutor","NULL"
1550710200,6,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550709339876,"tutor","NULL"
1550709335,7,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550708915742,"intuitive_plain","NULL"
1550709335,7,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550708918046,"intuitive_plain","NULL"
1550706590,8,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550706132168,"intuitive_school","NULL"
1550706590,8,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550706133318,"intuitive_school","NULL"
1550707797,9,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550707150551,"professor","NULL"
1550707797,9,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550707218602,"professor","NULL"
1550706067,10,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550705432392,"intuitive_plain","NULL"
1550706067,10,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1550705466674,"intuitive_plain","NULL"
1550706214,11,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1550705586056,"tutor","NULL"
