"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1552257458,183,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552256225338,"NULL"
1552257458,183,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552256246588,"NULL"
1552257458,183,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552256247804,"NULL"
1552257805,184,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552257219357,"NULL"
1552257805,184,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552257242427,"NULL"
1552257805,184,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552257244211,"NULL"
1552256697,185,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552255935185,"NULL"
1552256697,185,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552255952136,"NULL"
1552256697,185,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552255953620,"NULL"
1552263656,186,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552263070674,"NULL"
1552263656,186,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552263084939,"NULL"
1552263656,186,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552263087086,"NULL"
1552257210,187,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552256684494,"NULL"
1552257210,187,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552256695183,"NULL"
1552257210,187,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552256696922,"NULL"
1552259965,188,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552259424832,"NULL"
1552259965,188,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552259427135,"NULL"
1552259965,188,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552259428050,"NULL"
1552258591,189,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552258153458,"NULL"
1552258591,189,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552258172745,"NULL"
1552258591,189,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552258174604,"NULL"
1552260232,190,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552259685396,"NULL"
1552260232,190,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552259700937,"NULL"
1552260232,190,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552259703086,"NULL"
1552256600,191,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552256033551,"NULL"
1552256600,191,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552256042593,"NULL"
1552256600,191,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552256043918,"NULL"
1552256662,192,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552255961130,"NULL"
1552256662,192,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552255975208,"NULL"
1552256662,192,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552255977267,"NULL"
1552259080,193,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552258583679,"NULL"
