"Group","Instruction","Link"
"professor","professor.html","professor/experiment.html"
"tutor","tutor.html","tutor/experiment.html"
"intuitive_school","intuitive_school.html","intuitive_school/experiment.html"
"intuitive_plain","intuitive_plain.html","intuitive_plain/experiment.html"
