"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1552756223,280,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552755310592,"NULL"
1552756223,280,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552755336333,"NULL"
1552757357,281,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","Start",1552755915961,"NULL"
1552757357,281,"PennController",3,0,"consent","NULL","PennController",1,"_Trial_","End",1552756968178,"NULL"
