"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1552747083,267,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552746768823,"NULL"
1552747083,267,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552746804552,"NULL"
1552747083,267,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552746805576,"NULL"
1552748857,268,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552748023290,"NULL"
1552748857,268,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552748032862,"NULL"
1552748857,268,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552748033913,"NULL"
1552750738,269,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552749545684,"NULL"
1552750738,269,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552749553244,"NULL"
1552750738,269,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552749554284,"NULL"
1552747638,270,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552746881276,"NULL"
1552747638,270,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552746890228,"NULL"
1552747638,270,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552746891161,"NULL"
1552752588,271,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552750188784,"NULL"
1552752588,271,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552750211029,"NULL"
1552752588,271,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552750212712,"NULL"
1552747868,272,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552747667126,"NULL"
1552747868,272,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552747672499,"NULL"
1552747868,272,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552747675909,"NULL"
1552748409,273,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552746810706,"NULL"
1552748409,273,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552746967832,"NULL"
1552748409,273,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552746971954,"NULL"
1552747535,274,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552746767065,"NULL"
1552747535,274,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552746781107,"NULL"
1552747535,274,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552746785516,"NULL"
1552747455,275,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552747204903,"NULL"
1552747455,275,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552747207282,"NULL"
1552747455,275,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552747208621,"NULL"
1552748101,276,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552747482030,"NULL"
1552748101,276,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552747499683,"NULL"
1552748101,276,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552747500765,"NULL"
1552749240,277,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552748384698,"NULL"
1552749240,277,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552748396335,"NULL"
1552749240,277,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552748499556,"NULL"
1552750596,278,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552750221288,"NULL"
1552750596,278,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552750229138,"NULL"
1552750596,278,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552750230421,"NULL"
1552747365,279,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552746999634,"NULL"
1552747365,279,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552747006203,"NULL"
1552747365,279,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552747006858,"NULL"
